Date / Time,Incident Number,Location,Nature,Incident ORI
2/24/2020 19:44,2020-00014454,W DAWS ST / N WEBSTER AVE,COP Relationships,OK0140200
2/24/2020 19:45,2020-00014455,2600 W ROBINSON ST,Suspicious,OK0140200
2/24/2020 19:54,2020-00003116,3901 CHAMBERLYNE WAY,Unconscious/Fainting,EMSSTAT
2/24/2020 19:55,2020-00002307,3901 CHAMBERLYNE WAY,Unconscious/Fainting,14005
2/24/2020 19:58,2020-00014468,700 N BERRY RD,Found Item,OK0140200
2/24/2020 20:03,2020-00003117,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
2/24/2020 20:31,2020-00014459,2321 GLEN OAKS DR,Disturbance/Domestic,OK0140200
2/24/2020 20:39,2020-00003118,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
2/24/2020 20:48,2020-00014461,1226 CLASSEN BLVD,Alarm Holdup/Panic,OK0140200
2/24/2020 20:49,2020-00014462,515 24TH AVE NW,Trespassing,OK0140200
2/24/2020 20:49,2020-00014460,3421 48TH AVE NW,Alarm,OK0140200
2/24/2020 20:50,2020-00014463,1811 INDUSTRIAL BLVD,Noise Complaint,OK0140200
2/24/2020 20:54,2020-00003119,1650 W TECUMSEH RD,Sick Person,EMSSTAT
2/24/2020 20:54,2020-00002308,1650 W TECUMSEH RD,Sick Person,14005
2/24/2020 20:56,2020-00003121,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
2/24/2020 21:00,2020-00014464,11009 BENTWOOD RD,Disturbance/Domestic,OK0140200
2/24/2020 21:05,2020-00014466,1310 CREEKSIDE DR,Runaway or Lost Child,OK0140200
2/24/2020 21:05,2020-00014465,MOCKINGBIRD LN / 12TH AVE SE,Traffic Stop,OK0140200
2/24/2020 21:06,2020-00014467,4343 N FLOOD AVE,Check Area,OK0140200
2/24/2020 21:15,2020-00014469,4912 CORBETT DR,Extra Patrol,OK0140200
2/24/2020 21:39,2020-00014470,E DALE ST / N PORTER AVE,Traffic Stop,OK0140200
2/24/2020 21:42,2020-00014471,6450 36TH AVE NW,Suspicious,OK0140200
2/24/2020 21:50,2020-00014472,1300 E IMHOFF RD,Traffic Stop,OK0140200
2/24/2020 21:59,2020-00014473,6600 E TECUMSEH RD,Traffic Stop,OK0140200
2/24/2020 22:04,2020-00014474,805 BILOXI DR,Suspicious,OK0140200
2/24/2020 22:21,2020-00014475,W LINDSEY ST / MURPHY ST,Traffic Stop,OK0140200
2/24/2020 22:29,2020-00014477,2313 BEAUMONT DR,Welfare Check,OK0140200
2/24/2020 22:31,2020-00014476,404 NANTUCKET BLVD,Open Door/Premises Check,OK0140200
2/24/2020 22:33,2020-00014479,800 LEXINGTON ST,Noise Complaint,OK0140200
2/24/2020 22:39,2020-00014478,1801 W LINDSEY ST,Traffic Stop,OK0140200
2/24/2020 22:39,2020-00003122,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
2/24/2020 22:46,2020-00003123,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
2/24/2020 22:55,2020-00014482,405 NEBRASKA ST,Alarm,OK0140200
2/24/2020 22:56,2020-00014480,3020 PINELAKE ST,Vandalism,OK0140200
2/24/2020 22:59,2020-00014481,48TH AVE NW / ENCLAVE DR,Traffic Stop,OK0140200
2/24/2020 23:25,2020-00014483,WEST SIDE DDACTS,COP DDACTS,OK0140200
2/24/2020 23:32,2020-00014489,901 N PORTER AVE,Mutual Aid,OK0140200
2/24/2020 23:33,2020-00014484,HAMDEN AVE / W ROCK CREEK RD,Traffic Stop,OK0140200
2/24/2020 23:35,2020-00014485,1600 W LINDSEY ST,Suspicious,OK0140200
2/24/2020 23:36,2020-00014486,201 W GRAY ST,Contact a Subject,OK0140200
2/24/2020 23:37,2020-00014487,1002 24TH AVE SW,Alarm Holdup/Panic,OK0140200
2/24/2020 23:42,2020-00003124,318 E HAYES ST,Sick Person,EMSSTAT
2/24/2020 23:43,2020-00002309,318 E HAYES ST,Sick Person,14005
2/24/2020 23:44,2020-00003125,333 INTERSTATE DR E,Convulsion/Seizure,EMSSTAT
2/24/2020 23:44,2020-00002310,333 INTERSTATE DR E,Convulsion/Seizure,14005
2/24/2020 23:46,2020-00014488,W LINDSEY ST / MCGEE DR,Traffic Stop,OK0140200

